address,phone,price,store,title,url
"Vivian Avenue, Wembley, HA9",020 8022 6592,"£710,000 ",Ellis & Co - Greenford,5 bedroom semi-detached house for sale,https://www.onthemarket.com/details/10419806/
"Wickham Road, Brockley",020 8033 2481,"£525,000 ",Kinleigh Folkard & Hayward - Brockley Sales,2 bedroom flat for sale,https://www.onthemarket.com/details/10505766/
"Elm Park, Brixton",020 8022 6758,"£585,000 ",Kinleigh Folkard & Hayward - Clapham Sales,2 bedroom flat for sale,https://www.onthemarket.com/details/10505760/
"Netherhall Gardens, London, NW3",020 8022 7297,"£900,000 ",Knight Frank - Hampstead,2 bedroom flat for sale,https://www.onthemarket.com/details/10505749/
"Thanet House, Coombe Road, Croydon, Surrey CR0",020 8115 1995,"£269,950 ",Jacksons Property Services - Croydon,2 bedroom flat for sale,https://www.onthemarket.com/details/10505368/
"Herga Road,  Harrow,  HA3",020 8128 0622,"£500,000 ",Chancellors - Stanmore Sales,3 bedroom terraced house for sale,https://www.onthemarket.com/details/10482737/
"St George's Square, Pimlico SW1V",020 3641 0497,"£1,100,000 ",Bunn & Co - Pimlico,2 bedroom flat for sale,https://www.onthemarket.com/details/10504444/
"Merewood Close, Bromley",020 8022 7072,"£800,000 ",Kinleigh Folkard & Hayward - Chislehurst Sales,4 bedroom terraced house for sale,https://www.onthemarket.com/details/10504435/
"Hazelbank Road, Catford",020 8033 2478,"£700,000 ",Kinleigh Folkard & Hayward - Catford Sales,4 bedroom terraced house for sale,https://www.onthemarket.com/details/10504432/
Ilford IG1 2NF,020 8022 6434,"£300,000 ",Lint Group - Stratford,2 bedroom detached house for sale,https://www.onthemarket.com/details/10504397/
"Gasholders, 1 Lewis Cubitt Square, N1C",020 8115 1812,"£1,250,000 ",Berkshire Hathaway HomeServices Kay & Co - Kings Cross,1 bedroom property for sale,https://www.onthemarket.com/details/10504393/
"Altura Tower, Bridges Wharf, Battersea, London, SW11",020 8022 7422,"£575,000 ",Knight Frank - Battersea & Riverside,2 bedroom flat for sale,https://www.onthemarket.com/details/10504324/
Seven kings  IG1 4BL,020 8022 6434,"£305,000 ",Lint Group - Stratford,2 bedroom detached house for sale,https://www.onthemarket.com/details/10504322/
"Ribblesdale Road, Furzedown",020 8033 2443,"£525,000 ",Kinleigh Folkard & Hayward - Tooting Sales,2 bedroom flat for sale,https://www.onthemarket.com/details/10504272/
"Kellerton Road, Hither Green",020 8033 2457,"£1,100,000 ",Kinleigh Folkard & Hayward - Lee Sales,4 bedroom terraced house for sale,https://www.onthemarket.com/details/10504271/
"Cambridge Road, Twickenham, TW1",020 8022 6549,"£1,195,000 ",Knight Frank - Richmond,2 bedroom flat for sale,https://www.onthemarket.com/details/10504269/
"Heathfield Road, Keston",020 8022 6662,"£2,000,000 ",Kinleigh Folkard & Hayward - Hayes,6 bedroom detached house for sale,https://www.onthemarket.com/details/10504268/
"Bowls Close,  Stanmore,  Middlesex,  HA7",020 8128 0622,"£1,000,000 ",Chancellors - Stanmore Sales,4 bedroom detached house for sale,https://www.onthemarket.com/details/10439698/
"Stanmore Lodge,  Stanmore,  Middlesex,  HA7",020 8128 0622,"£480,000 ",Chancellors - Stanmore Sales,2 bedroom flat for sale,https://www.onthemarket.com/details/10489942/
"Brookehowse Road, Catford",020 8033 2478,"£450,000 ",Kinleigh Folkard & Hayward - Catford Sales,2 bedroom end of terrace house for sale,https://www.onthemarket.com/details/10504102/
"Waldegrave Road, Crystal Palace",020 8033 2470,"£300,000 ",Kinleigh Folkard & Hayward - Crystal Palace Sales,1 bedroom flat for sale,https://www.onthemarket.com/details/10503976/
Bromholm Road SE2,020 8033 1859,"£230,000 ",Winners Real Estate - Plumstead,2 bedroom flat for sale,https://www.onthemarket.com/details/10503971/
"Douglas Road, Queen's Park, London, NW6",020 8022 5841,"£1,500,000 ",Knight Frank - Queens Park,5 bedroom terraced house for sale,https://www.onthemarket.com/details/10503951/
"Princes Gate, London, SW7",020 8022 6882,"£6,750,000 ",Knight Frank - Knightsbridge,3 bedroom flat for sale,https://www.onthemarket.com/details/10503901/
